Time,q,qdes
22.306,9.196964,-8.416749
22.406,0.363638,-15.796017
22.506,-8.317513,-22.926172
22.606,-16.64801,-29.694768
22.706,-24.508274,-35.995059
22.806,-31.748945,-41.727687
22.905,-38.300701,-46.802244
23.4,-44.078828,-51.138702
23.103,-49.003472,-54.668672
23.202,-53.046623,-57.336485
23.301,-56.207644,-59.100066
23.4,-58.450035,-59.931605
23.5,-59.792773,-59.817986
23.6,-60.377954,-58.761002
23.7,-60.407372,-56.777322
23.8,-60.356163,-53.898229
23.899,-59.89964,-50.169129
23.998,-58.492709,-45.648833
24.98,-55.948148,-40.408626
24.198,-52.144881,-34.531152
24.297,-47.061843,-28.1091
24.396,-40.830189,-21.243752
24.496,-33.652848,-14.043377
24.596,-25.754586,-6.621529
24.696,-17.358762,0.904744
24.795,-8.699765,8.416749
24.895,0.005947,15.796017
24.994,8.566022,22.926172
